id,prompt,cluster,NID
600eb8dbf21215cb6475f4c20e811fc8,The president advised the doctor .,1,0.5414352596777035
1cb395ea048847c5538ed30a89663cb7,The student saw the managers .,2,0.5850123486733162
d79d346cdafb5cf564ce989318035382,The presidents encouraged the banker .,1,0.5438095238095239
33afb958c3ccdf3bd357210feadc497b,The senators supported the actor .,4,0.5482642083987194
d167c2aa5f02876720d2dae97456e3a6,The actors avoided the bankers .,5,0.5713966544790627
475a8fb1d15cb064e5ee477cc0d5d0db,The senators mentioned the artist .,4,0.5234430206191003
2f09637f0ffc0971173e9ffa8bfe8143,The managers saw the secretaries .,2,0.5438459490432589
adb2ec78f7ee6ab4decb9f4d55a3d735,The professor recognized the secretaries .,3,0.5469387755102041
2da60e514ecbf811f0d82e7715eca992,The author contacted the scientist .,4,0.5446880767811
7ef07c65520f160a5957de7b41e7bc99,The athletes recommended the senator .,4,0.537142857142857
